Model,Codename,Architecture,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type,Max. Memory,DirectX,OpenGL,Process (nm),Days old,Perf. Rating,3DMark Ice Storm GPU,3DMark Cloud Gate Standard Score,3DMark Cloud Gate GPU,3DMark11 P,3DMark11 P GPU,3DMark Fire Strike Score,3DMark Fire Strike Graphics,3DMark Time Spy Score,3DMark Time Spy Graphics,3DMark Vantage P,3DMark06,3DMark01,GFXBench,GFXBench 3.0 1080p Manhattan Offscreen,GFXBench 3.1 Manhattan ES 3.1 Offscreen,Basemark GPU 1.2 Vulkan Medium Offscreen,Basemark X 1.1 Medium Quality,Basemark X 1.1 High Quality,"Unigine Heaven 3.0 DX 11, Normal Tessellation, High Shaders",Unigine Valley 1.0 Extreme HD DirectX,Cinebench R15 OpenGL 64Bit,Cinebench R10 32Bit OpenGL,"ComputeMark v2.1 Normal, Score",LuxMark v2.0 64Bit Sala GPUs-only
ATI Mobility FireGL V5000,M26GL,,350,,350,128,GDDR3,128,9,,110,6889,~23.84%,,,,,,,,,,,,16500,,,,,,,,,,,,
NVIDIA GeForce G 110M,N10M-GS1,G9x,400,,700,64,"GDDR2, GDDR3",1024,10,,55,5454,~3.64%,,,,,,,,,,,2450n2,,,,,,,,,,,,,
AMD Radeon HD 6330M,Robson LP,Terascale 2,500,,800,64,DDR3,1024,11,,40,4767,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon HD 4330,M92-SE,Terascale 1,450,,600,64,"GDDR3, DDR2, DDR3",512,10.1,,55,5453,~6.817%,,,,,,,,,,656,2352n2,14310n5,,,,,,,,,,3310.5n6,,
NVIDIA GeForce 8400M GT,G86M,,450,,600,128,GDDR3 / GDDR2,512,10,,80,6064,~1.54%,,,,,,,,,,,1033,,,,,,,,,,,,,
NVIDIA Quadro NVS 140M,G84M,,400,,700,64,"GDDR3, GDDR2",256,10,,80,6064,~7.513%,,,,,,,,,,,1410,13071.5n6,,,,,,,,,,2408,,
Intel HD Graphics 2000,Sandy Bridge,Gen. 6 Sandy Bridge,850/1100,1350,,64/128,,,10.1,,32,4700,~6.917%,,,,,,,,,,895.5n2,2288n3,15201,,,,,,,,,,2298n2,,
NVIDIA GeForce G 107M,,G9x,,,,,,,10,,55,5218,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce G 105M,N10M-GE1,G9x,640,,700,64,"GDDR2, GDDR3",512,10,,65,5454,~6.317%,,,,,,,,,,788,2261n7,13616n7,,,,,,,,,,2416n6,,
NVIDIA GeForce G 103M,G98,G9x,640,,500,64,DDR2,512,10.0,,65,5218,~6.117%,,,,,,,,,,366,1885,13833,,,,,,,,,,2131,,
NVIDIA GeForce 9500M GE,MCP79Mx + NB9M,,,,,64,"GDDR2, GDDR3",256,10.0,,65,5819,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce G 102M,MCP75,G9x,450,,,,"DDR2, DDR3",512,10.0,,65,5400,~6.513%,,,,,,,,,,,1409,10723n2,,,,,,,,,,2581.5n2,,
NVIDIA GeForce G 205M,MCP79MX,G9x,450,,,,,,10,,65,5096,~2.34%,,,,,,,,,,,1589,,,,,,,,,,,,,
NVIDIA GeForce 9400M (G) / ION (LE),MCP79MX,,450,,,,,,10.0,,65,5540,~3.317%,,,,,,,,,,607,1157n5,6427n7,,,,,,,,,,2326.5n12,,
Intel HD Graphics (Sandy Bridge),Sandy Bridge,Gen. 6 Sandy Bridge,350,1100,,64/128,,,10.1,,32,4611,~4.225%,,1451.5n2,1404.5n2,,,,,,,976n18,2509n19,11429.5n4,,,,,,,,,,2577n18,,
Intel HD Graphics (Bay Trail),Bay Trail,Gen. 7 Ivy Bridge,311,896,,32/64/128,,,11,"4.0, ES 3.0",22,3747,~4.183%,14748.5n20,1188n74,1228.5n72,216n88,186.5n86,147n7,149n11,,,637n12,1866n27,7727,16n15,8.75n10,5.2,,14509n4,8456n3,3.6,,5.52n42,1991.5n84,174n12,29n6
VIA Chrome9HD,,,,,,,,,10.1,,0,6133,~3.14%,,,,,,,,,,,2120,,,,,,,,,,,,,
AMD Radeon HD 7340,Zacate,Terascale 2,523,680,,,,,11,,40,4245,~2.150%,,1385.5n2,1908n2,360.5n8,331.5n8,217.5n2,224n2,,,1070n7,2466.5n8,9548,,,,,,,,,,2121n5,258,63
AMD Radeon HD 6320,Zacate,Terascale 2,500,600,,,,,11,,40,4777,~1.421%,,,,332.5n6,302n6,,,,,891.5n8,2406.5n8,,,,,,,,,,,2056n7,,
AMD Radeon HD 7310,Zacate,Terascale 2,500,,,,,,11,,40,4245,~1.650%,,1161,1593,286n3,260n3,200,192,,,639.5n4,1458.5n4,7452n2,,,,,,,,,,1796n3,162,28
AMD Radeon HD 6310,Zacate,Terascale 2,500,,,,,,11,,40,4777,~325%,,,,275n5,251n5,,,,,691n6,1984.5n10,8348n7,,,,,,,,,,1933n12,,
AMD Radeon HD 8180,Temash,GCN,225,,,,,,11.1,,28,3858,~0.750%,,1021n3,1493n3,294,268,165,145n2,,,790,1723.5n2,,,,,,,,,,5.45n2,1469.5n4,216,30
ATI Mobility Radeon HD 3470 Hybrid X2,M82-XT + RS780M,RV6xx,,,,,DDR2/GDDR3,,10.1,,55,5454,~6.813%,,,,,,,,,,,2324,10748,,,,,,,,,,2098,,
NVIDIA GeForce 9400M GeForceBoost,,,,,,64,,,10,,65,5673,~7.18%,,,,,,,,,,125,,9710,,,,,,,,,,,,
ATI Mobility Radeon HD 3470,M82-XT,RV6xx,680,,800,64,DDR2/GDDR3,,10.1,,55,6185,~7.413%,,,,,,,,,,,1566n3,12640.5n4,,,,,,,,,,2245n3,,
NVIDIA GeForce 9300M G,NB9M-GS1,,400,,600,64,GDDR2 / GDDR3,256,10,,80,5796,~8.213%,,,,,,,,,,,1775.5n2,13980n3,,,,,,,,,,2613n2,,
NVIDIA ION 2,"GT218-ION-A3, GT218-ILV-A3",GT2xx,405 / 475 / 535,,790,64,"DDR2, DDR3",512,10.1,,40,5087,~3.117%,,,,,,,,,,724n3,1963n5,5539.5n4,,,,,,,,,,1027n5,,
NVIDIA GeForce 9300M GS,NB9M-GS,,550,,700,64,"GDDR2, GDDR3",256,10,,65,5672,~5.917%,,,,,,,,,,267,1465,13583n8,,,,,,,,,,2561n7,,
NVIDIA Quadro FX 370M,NB9M-GLM,,580,,700,64,"GDDR2, GDDR3",256,10,,65,5600,~813%,,,,,,,,,,,1595,13622,,,,,,,,,,3031,,
NVIDIA Quadro NVS 160M,,,580,,700,64,"GDDR2, GDDR3",256,10,,65,5600,~8.213%,,,,,,,,,,,1841n3,13740,,,,,,,,,,2923n3,,
NVIDIA GeForce 9200M GS,NB9M-GE,,550,,700,64,"GDDR2, GDDR3",256,10,,65,5672,~6.317%,,,,,,,,,,372.5n2,1817.5n2,14224n6,,,,,,,,,,2335n3,,
AMD Radeon HD 7290,Zacate,Terascale 2,280,400,,,,,11,,40,4550,~0.825%,,,,226,206,,,,,534,1536,,,,,,,,,,,1342,188,
AMD Radeon HD 6290,Zacate,Terascale 2,280,400,,,,,11,,40,4550,~0.821%,,,,200,179,,,,,497n2,1513n2,,,,,,,,,,,1174n2,,
ATI Mobility Radeon HD 3450,M82,RV6xx,500,,700,64,DDR2/GDDR3,,10.1,,55,6185,~5.917%,,,,,,,,,,306.5n2,1911.5n4,12859n3,,,,,,,,,,2595n2,,
ATI Mobility Radeon HD 3430,M82-SE,RV6xx,450,,700,64,GDDR2,512,10.1,,55,5621,~7.213%,,,,,,,,,,,1690n3,12163.5n2,,,,,,,,,,2129,,
ATI Mobility Radeon HD 3410,M82-MPE,RV6xx,400,,700,64,GDDR2,,10.1,,55,5621,~2.14%,,,,,,,,,,,1450,,,,,,,,,,,,,
ATI Mobility Radeon HD 2400 XT,M74,RV6xx,600,,700,64,"DDR2, GDDR3",256,10,,65,6059,~6.213%,,,,,,,,,,,1689n2,9962n2,,,,,,,,,,2653,,
ATI Radeon HD 4270,RS880M,RV6xx,590,,,,,512,10.1,,55,4976,~1.313%,,,,,,,,,,230,1402,,,,,,,,,,,2220,,
ATI Radeon HD 4250,RS880M,RV6xx,500,,,,,512,10.1,,55,4976,~4.117%,,,,,,,,,,227n2,1372n5,8689n3,,,,,,,,,,2117n6,,
ATI Radeon HD 4200,RV620,RV6xx,500,,,,,512,10.1,,55,5209,~3.621%,,330,,,,,,,,236n2,1465,9370n3,,,,,,,,,,2229n2,,
Intel Graphics Media Accelerator (GMA) HD Graphics,GMA HD,Gen. 5 Arrandale,500,,,,,,10,,45,5087,~3.917%,,,,,,,,,,297.5n20,1420n54,8301.5n22,,,,,,,,,,1790n74,,
AMD Radeon HD 6250,Zacate,Terascale 2,280,,,,,,11,,40,4777,~1.542%,,793,1091,188.5n6,172n5,,,,,422n7,1446.5n6,6589.5n6,,,,,,,,,,1372n9,160,27
NVIDIA Quadro NVS 150M,,,530,,700,64,"GDDR2, GDDR3",256,10,,65,5600,~8.213%,,,,,,,,,,,1561,14211.5n2,,,,,,,,,,2515.5n2,,
NVIDIA Quadro FX 360M,NB8M-GLM,,400,,600,64,GDDR3,256,10,,80,6064,~8.713%,,,,,,,,,,,1490,15053.5n2,,,,,,,,,,2985,,
ATI Mobility Radeon X1350,M52,,470,,350,128,DDR1/DDR2/GDDR3,256,9c,,90,6297,~9.68%,,,,,,,,,,,1088,12234,,,,,,,,,,,,
ATI Mobility Radeon X1400,M54,,445,,250,128,DDR1/DDR2/GDDR3,256,9c,,90,6539,~11.28%,,,,,,,,,,,1064n2,14404.5n2,,,,,,,,,,,,
NVIDIA GeForce 9100M G,MCP77MH MCP79MH,,450,,,,,,10,,65,5672,~1.84%,,,,,,,,,,,1200,,,,,,,,,,,,,
NVIDIA GeForce 8400M GS,G86M,,400,,600,64,GDDR2 / GDDR3,256,10,,80,6064,~7.213%,,,,,,,,,,,1343n5,12521.5n14,,,,,,,,,,2128.5n6,,
NVIDIA Quadro NVS 135M,G86M,,400,,600,64,"GDDR3, GDDR2",256,10,,80,6064,~88%,,,,,,,,,,,965,10100,,,,,,,,,,,,
ATI Mobility Radeon HD 2400,M72,RV6xx,450,,500,64,"DDR2, GDDR3",256,10,,65,6059,~613%,,,,,,,,,,,1215,10205n4,,,,,,,,,,2210n2,,
ATI Radeon HD 3200,RS780M,RV6xx,500,,,,,512,10,,55,5672,~2.817%,,,,,,,,,,81.5n2,891n7,6020n14,,,,,,,,,,1511n13,,
ATI Radeon HD 4225,RS880M,RV6xx,380,,,,,512,10.1,,55,4976,~3.117%,,,,,,,,,,140.5n4,1053n8,6695n4,,,,,,,,,,1665.5n8,,
ATI Radeon HD 4100,,RV6xx,350,,,,,512,10.1,,55,5157,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon HD 3400,,RV6xx,,,,,,,,,0,4884,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Radeon HD 3100,RS780MC,RV6xx,350,,,,,512,10,,55,5614,~1.74%,,,,,,,,,,,1164n3,,,,,,,,,,,,,
NVIDIA GeForce 8400M G,G86M,,400,,600,64,GDDR3 / GDDR2,256,10,,80,6064,~4.413%,,,,,,,,,,,912,7560n5,,,,,,,,,,1443,,
NVIDIA Quadro NVS 130M,G86M,,,,700,64,"GDDR3, GDDR2",256,10,,80,6064,~1.64%,,,,,,,,,,,1115,,,,,,,,,,,,,
NVIDIA GeForce 8200M G,MCP77MV MCP79MVL,,400,,,,,,10,,80,5672,~6.18%,,,,,,,,,,,1250,7122n3,,,,,,,,,,,,
Intel Graphics Media Accelerator (GMA) 4700MHD,Montevina,Gen. 4.5,640,,,0,,0,10,,65,5553,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Graphics Media Accelerator (GMA) 4500MHD,Montevina,Gen. 4.5,533,,,0,,0,10,,65,5553,~1.525%,,178,145,,,,,,,,623n28,5089.5n52,,,,,,,,,0.82,773n68,,
Intel Graphics Media Accelerator (GMA) 4500M,GL40,Gen. 4.5,400,,,,,0,10,,65,5553,~2.313%,,,,,,,,,,,612.5n4,3882n7,,,,,,,,,,687n13,,
NVIDIA GeForce Go 7400,G72M,,450,,450,64 / 32,DDR3,128,9c,,90,6526,~9.88%,,,,,,,,,,,801.5n4,12730.5n4,,,,,,,,,,,,
NVIDIA Quadro FX 350M,G72M,,450,,350,64,DDR-3,64,9c,,90,6468,~14%,,,,,,,,,,,680,,,,,,,,,,,,,
NVIDIA Quadro NVS 120M,G72M,,450,,700,64,DDR-3,256,9c,,90,6406,~14%,,,,,,,,,,,660,,,,,,,,,,,,,
NVIDIA GeForce Go 7300,G72M,,350,,700,64,DDR-3,64,9c,,90,6526,~8.78%,,,,,,,,,,,712.5n4,11300n3,,,,,,,,,,,,
NVIDIA Quadro NVS 110M,G72M,,300,,600,64,DDR-3,64,9c,,90,6406,~8.48%,,,,,,,,,,,600,11000,,,,,,,,,,,,
ATI Mobility Radeon X600,M24,,400,,250,128,DDR/DDR2,256,9,,130,7136,~7.58%,,,,,,,,,,,280,10155.5n2,,,,,,,,,,,,
ATI Mobility FireGL V3200,M24GL,,400,,,128,DDR/DDR2,128,9,,130,7136,~174%,,,,,,,,,,,,11800,,,,,,,,,,,,
ATI Mobility FireGL V3100,M22GL,,350,,200,128,DDR/DDR2,64,9,,110,7136,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon X2300,M64,,480,,400,128,DDR1/DDR2/GDDR3,256,9c,,90,6133,~4.913%,,,,,,,,,,,892n2,8354.5n2,,,,,,,,,,1787,,
ATI Mobility Radeon HD 2300,M71,RV5xx,480,,400,128,DDR1/DDR2/GDDR3,,9c,,90,6133,~7.18%,,,,,,,,,,,834.5n2,9000,,,,,,,,,,,,
ATI Mobility Radeon 9700,M11,,450,,275,128 / 64,DDR,256,9,,130,7136,~7.58%,,,,,,,,,,,424,10000,,,,,,,,,,,,
ATI Mobility FireGL T2e,M11GL,,450,,260,128,,256,9,,130,7075,,,,,,,,,,,,,,,,,,,,,,,,,
ATI Mobility Radeon X1300,M52,,350,,250,128,DDR1/DDR2/GDDR3,256,9c,,90,6539,~78%,,,,,,,,,,,725,9000,,,,,,,,,,,,
NVIDIA GeForce4 4200 Go,NV28M,,200,,200,128,DDR,128,8.1,,150,7700,~13.74%,,,,,,,,,,,,9500,,,,,,,,,,,,
ATI Mobility Radeon 9600,M10,,300,,300,128 / 64,DDR,128,9,,130,7136,~12.24%,,,,,,,,,,,,8490n2,,,,,,,,,,,,
ATI Mobility FireGL T2,M10GL,,300,,200,128,,256,9,,130,7349,~12.84%,,,,,,,,,,,,8894,,,,,,,,,,,,
ATI Mobility Radeon 9550,M12,,210,,183,64,DDR,128,9,,130,7136,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce Go 7200,G72M,,450,,350,32,DDR-3,64,9c,,90,6314,~5.98%,,,,,,,,,,,674,7489,,,,,,,,,,,,
NVIDIA GeForce Go 6400,NV44M1,,400,,350,64,DDR,32,9c,,110,6526,~14.14%,,,,,,,,,,,,9800,,,,,,,,,,,,
ATI Mobility Radeon X300,M22,,350,,250,64,DDR/DDR2,,9,,130,6764,~6.48%,,,,,,,,,,,200,8646.5n2,,,,,,,,,,,,
NVIDIA GeForce Go 6250,NV44M1,,400,,350,64,DDR,32,9c,,110,6526,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce Go 6200,NV44MV,,300,,300,64,DDR,32,9c,,110,6526,~134%,,,,,,,,,,,,9000,,,,,,,,,,,,
NVIDIA GeForce FX Go 5700,NV36M,,450,,275,128,DDR,32,9,,130,7288,~15.94%,,,,,,,,,,,,11000,,,,,,,,,,,,
NVIDIA Quadro FX Go 1000,,,,,,128,,,9,,130,7233,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce FX Go 5600 / 5650,NV31M,,350,,300,128,DDR,32,9,,130,7594,~13.14%,,,,,,,,,,,,9100,,,,,,,,,,,,
ATI Radeon Xpress X1270,M690T,,400,,,,,128,9,,80,6161,~2.813%,,,,,,,,,,,327.5n2,5217n7,,,,,,,,,,559n3,,
ATI Radeon Xpress X1250,RS690M,,350,,,,,128,9,,80,6161,~3.713%,,,,,,,,,,,387.5n2,6930n5,,,,,,,,,,880n3,,
ATI Radeon Xpress 1250,,,400,,,,,,9,,80,6316,~2.613%,,,,,,,,,,,445,4576n3,,,,,,,,,,669,,
ATI Radeon Xpress X1200,RS690M,,350,,0,,,128,9,,80,6161,~38%,,,,,,,,,,,278n3,3824n2,,,,,,,,,,,,
Intel Graphics Media Accelerator (GMA) X3100,Crestline,Gen. 4,500,,,0,,0,10,,90,6064,~2.313%,,,,,,,,,,,430.5n8,4117n31,,,,,,,,,,665n25,,
Intel Graphics Media Accelerator (GMA) 3650,Cedar Trail,PowerVR SGX5,640,,,,,,9.1,,32,4427,~1.913%,,,,,,,,,,,422,3207,,,,,,,,,,435n3,,
NVIDIA GeForce 7190M,,,,,,,shared Memory,,9c,,90,6526,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce 7150M,C67,,425,,,,shared Memory,,9c,,90,6526,~3.58%,,,,,,,,,,,315n3,4501,,,,,,,,,,,,
ATI Radeon Xpress 1150,RS482M,,400,,0,0,shared Memory,0,9b,,110,6406,~3.68%,,,,,,,,,,,219,4712.5n4,,,,,,,,,,,,
NVIDIA GeForce Go 6150,C51MV,,425,,0,0,shared Memory,0,9c,,110,6526,~2.213%,,,,,,,,,,,200,4000n3,,,,,,,,,,867,,
NVIDIA GeForce Go 6100,C51MV,,425,,0,0,shared Memory,0,9c,,110,6526,~3.88%,,,,,,,,,,,173n2,5100,,,,,,,,,,,,
NVIDIA GeForce 7000M,C67,,350,,0,0,shared Memory,0,9c,,90,6526,~3.78%,,,,,,,,,,,274n2,4860n3,,,,,,,,,,,,
Intel Graphics Media Accelerator (GMA) 3600,Cedar Trail,PowerVR SGX5,400,,,,,,9.1,,32,4427,~213%,,,,,-1,,,,,,280.5n2,3514,,,,,,,,,,828n3,,
ATI Mobility Radeon 9200,M9,,250,,200,128,DDR,64,8.1,,150,7594,~11.14%,,,,,,,,,,,,7670,,,,,,,,,,,,
ATI Mobility FireGL 9000,M9GL,,250,,200,128,DDR,64,8.1,,150,8018,~12.14%,,,,,,,,,,,,8400,,,,,,,,,,,,
NVIDIA GeForce FX Go 5200,NV31M,,300,,300,128,DDR,32,9,,150,7594,~9.84%,,,,,,,,,,,,6800,,,,,,,,,,,,
ATI Mobility Radeon 9000,M9,,240,,200,128,DDR,128,8.1,,150,7775,~84%,,,,,,,,,,,,5565,,,,,,,,,,,,
NVIDIA GeForce 4 488 Go,NV17M,,275,,275,32,DDR,64,7,,150,7959,~7.84%,,,,,,,,,,,,5400,,,,,,,,,,,,
NVIDIA GeForce 4 460 Go,NV17M,,250,,250,32,DDR,64,7,,150,7959,~7.94%,,,,,,,,,,,,5500,,,,,,,,,,,,
NVIDIA GeForce 4 440 Go,NV17M,,220,,220,32,DDR,64,7,,150,7959,~7.24%,,,,,,,,,,,,5000,,,,,,,,,,,,
NVIDIA GeForce 4 420 Go,NV17M,,190,,200,32,DDR,64,7,,150,7959,~6.24%,,,,,,,,,,,,4300,,,,,,,,,,,,
Intel Graphics Media Accelerator (GMA) 3150,Pineview,Gen. 4,200,,,,,,9c,,45,5087,~1.313%,,,,,,,,,,,144n35,2483.5n36,,,,,,,,,,287.5n42,,
Intel Graphics Media Accelerator (GMA) 950,GMA 950,Gen. 3,250,,0,0,,0,9c,,130,6863,~1.613%,,,,,,,,,,,107n3,3009n61,,,,,,,,,,274n36,,
ATI Mobility Radeon 7500,RV200,,280,,200,64 / 128,DDR,64,7,,150,8144,~5.54%,,,,,,,,,,,,3818.5n2,,,,,,,,,,,,
ATI Mobility FireGL 7800,,,280,,200,64 / 128,DDR,64,7,,180,6651,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Graphics Media Accelerator (GMA) 900,GMA 900,Gen. 3,400,,0,0,,0,9c,,130,6863,~213%,,,,,,,,,,,57n2,4000n3,,,,,,,,,,149,,
ATI Radeon Xpress 200M,,,350,,0,0,,0,9b,,130,6874,~2.313%,,,,,,,,,,,202,4441n3,,,,,,,,,,194,,
ATI Radeon Xpress 1100,,,300,,,0,shared Memory,,9b,,110,6406,~38%,,,,,,,,,,,97n2,4127,,,,,,,,,,,,
SIS Mirage 3+ 672MX,SISM672,,250,,,,,,9,,0,6192,~1.18%,,,,,,,,,,,145n2,1395,,,,,,,,,,,,
SIS Mirage 3 671MX,671MX,,250,,,,,,8.1,,0,6406,~1.58%,,,,,,,,,,,68,2061n3,,,,,,,,,,,,
Intel Graphics Media Accelerator (GMA) 600,GMA 600,PowerVR SGX5,400,,,,,,9.0c,,45,4976,~0.813%,,,,,,,,,,,119,1562n2,,,,,,,,,,107n3,,
Intel Graphics Media Accelerator (GMA) 500,GMA 500,PowerVR SGX5,200,,,,,,10.1,,130,5522,~0.513%,,,,,,,,,,,68,1016n11,,,,,,,,,,29n13,,
NVIDIA GeForce 3 Go,,,250,,,32 / 64 / 128,DDR,64,7,,150,7987,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce 2 Go (200 / 100),NV11,,166,,143,32 / 64,DDR,64,7,,180,8324,~3.64%,,,,,,,,,,,,2500,,,,,,,,,,,,
ATI Mobility Radeon 9100 IGP,RS350,,400,,,,,,8.1,,0,7480,~3.94%,,,,,,,,,,,,2680n2,,,,,,,,,,,,
ATI Mobility Radeon 9000 IGP,RC350,,300,,0,0,,,8.1,,0,7533,~10.74%,,,,,,,,,,,,7450,,,,,,,,,,,,
ATI Mobility Radeon M7,M7,,230,,183,64,DDR,32,7,,180,8049,~54%,,,,,,,,,,,,3500,,,,,,,,,,,,
ATI Mobility Radeon M6,M6,,166,,166,32,DDR,16,7,,180,8049,~3.74%,,,,,,,,,,,,2570,,,,,,,,,,,,
VIA Chrome9 HC,VN896,,250,,,,onboard,,9,,0,6133,~1.113%,,,,,,,,,,,115n3,2029.5n4,,,,,,,,,,459n3,,
Intel Extreme Graphics 2,Montara,Gen. 2,133,,,0,,,8,,150,7317,~3.54%,,,,,,,,,,,0n2,2457n2,,,,,,,,,,,,
ATI Mobility Radeon 7000 IGP,R100,,,,,0,,,7,,0,7594,~2.34%,,,,,,,,,,,,1625n2,,,,,,,,,,,,
ATI Radeon IGP 340M,,,180,,,0,,,7,,0,7741,~1.84%,,,,,,,,,,,,1235,,,,,,,,,,,,
ATI Radeon IGP 320M,,,160,,,0,,,7,,0,7741,~2.24%,,,,,,,,,,,,1537,,,,,,,,,,,,
VIA S3G UniChrome Pro II,Zoetrope,,200,,,0,,,7,,0,6284,~1.54%,,,,,,,,,,,,1018,,,,,,,,,,,,
VIA S3G UniChrome Pro,Zoetrope,,,,,0,,,7,,0,7106,~2.94%,,,,,,,,,,,,2018n3,,,,,,,,,,,,
VIA Castle Rock,CLE266,,,,,,,,,,0,7653,,,,,,,,,,,,,,,,,,,,,,,,,
SIS Mirage 2 M760,M760,,200,,,,,,8.1,,0,7388,~2.24%,,,,,,,,,,,,1514n2,,,,,,,,,,,,
SIS Mirage M661FX,,,133,,,,,,7,,0,7472,~1.94%,,,,,,,,,,,,1300,,,,,,,,,,,,
VIA S3 Graphics ProSavage8,,,121,,,,,,,,0,8383,~0.94%,,,,,,,,,,,,600,,,,,,,,,,,,
ATI Mobility 128 M3,M3,,105,,105,64,DDR,8,6,,0,8718,~0.64%,,,,,,,,,,,,415,,,,,,,,,,,,
Silicon Motion SM502,,,,,,,,,,,0,6192,,,,,,,,,,,,,,,,,,,,,,,,,
unknown,,,,,,,,,,,0,19706,~1.617%,,,,,,,,,,,,,74,62,35,35.64,,,,,,,,
