Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
AMD Ryzen 7 PRO 7840HS,Phoenix-HS (Zen 4),"Phoenix (Zen 4, Ryzen 7040)",8MB + 16MB,,35,3800 ‑ 5100,8/16,4,x86,,185,Radeon 780M,~58.3,,,,,,276,2519,693,6235,1774,15863,,,,,,,,19.9,,,,201,325,6493,70387,,,,,,,,1953,12039,2528.5,12858,,,,,,311,222
AMD Ryzen 9 6980HX,Rembrandt-H (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,45,3300 ‑ 5000,8/16,6,x86,,710,Radeon 680M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i7-12800H,Alder Lake-H,Alder Lake-P,11.5MB + 24MB,,45,1800 ‑ 4800,14/20,10,x86,,710,Iris Xe G7 96EUs,~57.6,,,,,,265,2222,706,5731,1828,15283,,,,,,,,16.8,,,,222,337,5820,62100,,,,,,,,1771,12434,,,,,91965,254.5,311,294.5,265
Apple M3 Pro 12-Core,,Apple M3,,,27,2748 ‑ 4056,12/12,3,ARM,,51,M3 Pro 18-Core GPU,~71.3,,,,,,,2163,,,1977,15106,,,,,,,,,,,,327,314,,,,,,,,,,2327,15298,3138,15480,,,96501,297.2,555,427,
Apple M3 Pro 11-Core,,Apple M3,,,27,2748 ‑ 4056,11/11,3,ARM,,51,M3 Pro 14-Core GPU,~66.6,,,,,,281,1913,502,3529,1942,13315,,,,,,,,,,,,365,355,,,,,,,,,,2331,13312,3113,14412,,,98732,307.5,549,431,
Intel Core i7-12650HX,Alder Lake-HX,Alder Lake-S,11.5MB + 24MB,,55,1500 ‑ 4700,14/20,10,x86,,584,UHD Graphics 770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-13600HX,Raptor Lake-HX,Raptor Lake-HX,+ 24MB,,55,1900 ‑ 4800,14/20,10,x86,,345,UHD Graphics 770,~65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912.5,15135,2920,15910,,,,,,,
Intel Core i5-13500HX,Raptor Lake-HX,Raptor Lake-HX,+ 24MB,,55,1800 ‑ 4700,14/20,10,x86,,345,UHD Graphics Xe 16EUs (Tiger Lake-H),~49.3,14596,8980,58608,3.14,33.7,252,2863,679,7021,1730.5,18334,7.7,408,10.7,400.2,,,,20.3,14.6,2.8,1.5,193,336,5728,71243,,,,,,,,1730,13581,2478,13404,,,90065,308.43,356.7,293,243
AMD Ryzen 9 3900X,Matisse (Zen 2),Matisse (Ryzen 3000 Desktop),6MB + 64MB,,105,3800 ‑ 4600,12/24,7,x86,,1622,,~37.7,14889,6018.5,45539,2.36,33.88,207,3049,514,6910,1370,19000,9.14,511,2.69,64.85,7534,267.5,147,20.75,10.75,2.9,1.7,162.3,,5316,80935,,,,5680,43350,1247,11135,1250,10498,,,,,,,,225,
Qualcomm Snapdragon X Elite,Oryon,,,,45,3800 ‑ 4300,12/12,4,ARM,,50,SD X Elite Adreno GPU,~72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2871.5,14647.5,,,,,,,
Apple M2 Max,,Apple M2,36MB + 48MB,,79,2424 ‑ 3696,12/12,5,ARM,,332,M2 Max 38-Core GPU,~60.7,,,,,,236,2084,455.5,4064.5,1643.5,14752.5,,,,,,,,,,,,333,326,,,,,,,,,,1967,15373,2692,14863,,,77676,246.45,423,404.5,259
Apple M2 Pro,,Apple M2,36MB + 24MB,,,2424 ‑ 3504,12/12,5,ARM,,332,M2 Pro 19-Core GPU,~57.3,,,,,,230,2069,446.5,4031,1647.5,14794.5,,,,,,,,,,,,,331,,,,,,,,,,1957,15010,2663,14568,,,76205,239,403,386,253
Intel Core i7-13620H,Raptor Lake-H,Raptor Lake-H,9.5MB + 24MB,,45,1800 ‑ 4900,10/16,10,x86,,345,UHD Graphics 64EUs,~46.4,13632,10181,54809,3.27,27.06,263,2349,711,5828,1860,15339,6.74,379.96,3.14,1021,8682,345.36,138.15,16.6,13.8,2.3,1.3,223,391,5890,59430,,,,7977,42882,1767,11205,1831,11430,2596.5,12817,,,,,,305.5,267
Intel Core i7-12700H,Alder Lake-H,Alder Lake-S,11.5MB + 24MB,,45,1700 ‑ 4700,14/20,10,x86,,710,Iris Xe G7 96EUs,~48,14044,8875.5,54647,3.06,27.6,256,2605,688,6087,1780.5,16338,7.92,428.65,3.3,236.13,8231,297.5,145.75,16.7,14.8,2.5,1.4,214,391.5,5761.5,61958.5,,,,7421,46409,1695,11805,1755,12125,2486,13118,,93.6,88214.5,261.2,278,297.5,258
AMD Ryzen 7 5800X3D,Vermeer (Zen3),Vermeer (Ryzen 5000),4MB + 96MB,,105,3400 ‑ 4500,8/16,7,x86,,591,,~38.5,14479,6008,42010,2.77,27.19,241,2413,566,5479,1452,14317,8.11,385.46,3.65,92.57,14431,292,138.25,19.1,13.8,1.9,1.2,212.6,,6799,69518,,,,7187,43687,1526,10836,1622,10856,,,,,,,,,
AMD Ryzen 7 5800X,Vermeer (Zen 3),Vermeer (Ryzen 5000),4MB + 32MB,,105,3800 ‑ 4700,8/16,7,x86,,1163,,~44.2,15873,6835,45548,3.09,29.31,265.5,2608.5,624.5,6074.5,1574.5,15476,7.3,365.8,3.04,86.1,15604,339,152,20.3,15,2,1.3,196.9,336,6906.5,72113.5,,,,7333,44131,1673,11246,1683,10723.5,,,,,,,,301.5,245
Intel Core i9-11900K,Rocket Lake,Rocket Lake,4MB + 16MB,,125,3500 ‑ 5300,8/16,14,x86,,959,UHD Graphics Xe 750 32EUs,~44,,10545,62024,3.1,26.76,255,2379,633,5306,1636,14747,6.27,331.4,3.98,77.9,9030,309.5,137,18.2,13,1.9,1.2,211.85,428,6347,59658.5,,,,7976,42329,1863,11008,1787.5,10483,,,,,,,,283.5,247
Intel Core i7-1370P,Raptor Lake-P,Raptor Lake-P,11.5MB + 24MB,,28,1400 ‑ 5200,14/20,10,x86,,345,Iris Xe G7 96EUs,~54.1,,,,,,271,2272,719.5,5113.5,1872.5,12968.5,,,,,,,,12.08,,,,317.5,609,6413.5,51639,,,,,,1939,11474,1887,10353,2644,12891,,,,308.91,,296,285
AMD Ryzen 9 PRO 6950H,Rembrandt-H (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,45,3300 ‑ 4900,8/16,6,x86,,604,Radeon 680M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 9 6900HX,Rembrandt-H (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,45,3300 ‑ 4900,8/16,6,x86,,710,Radeon 680M,~40,13274,6545.5,39524,2.92,23.88,249,2231,610,5306,1558,13497,7.86,661.86,3.77,104.79,6875,255.5,114.45,16.95,11.9,1.7,1.1,231,407,5817,61333,,,,6698,39852,1557,10144,1589,9647,,,,,,243.02,,286,227
Intel Core i9-10900K,Comet Lake,Comet Lake,2.5MB + 20MB,,125,3700 ‑ 5300,10/20,14,x86,,1304,UHD Graphics 630,~39.2,,8127,59368,2.56,29.03,217,2533,524,6181,1374,15821,7.2,403.4,3.58,66.3,9739,289.5,149,19.8,14.6,2.6,1.5,179,,5811,69987,,,,6126,41647,1385,11060.5,1428,11393,,,,,,,,255,
Intel Core i5-13450HX,Raptor Lake-HX,Raptor Lake-HX,+ 20MB,,55,1800 ‑ 4600,10/16,10,x86,,345,UHD Graphics Xe 16EUs (Tiger Lake-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i7-12650H,Alder Lake-H,Alder Lake-P,9.5MB + 24MB,,45,1700 ‑ 4700,10/16,10,x86,,710,UHD Graphics 64EUs,~45.2,13453,8898,44608,3.14,22.08,253,1893,680,4772,1770,12326,7.83,414.82,6.99,410.29,8199,282.3,111.1,14.5,10.1,1.8,1.1,267,449,5674,49673,,,,7600,41235,1732,10303,1772,10126,2429,10580,,86,87864,265.07,278.5,299,251
Intel Core i9-11900KB,Tiger Lake-H,Tiger Lake,10MB + 24MB,,65,3300 ‑ 5300,8/16,10,x86,,914,UHD Graphics Xe 32EUs (Tiger Lake-H),~37.4,14961,9538,50665,2.84,22.07,247,2027,629,4644,1621,11726,6.66,343.2,3.42,102.2,9584,272.5,106,14.4,11.6,1.7,1.1,262.7,,5979,50152,,,,6991,36310,1638,8845,1656,8924,,,,,,,,269,
AMD Ryzen 9 3900,Matisse (Zen 2),Matisse (Ryzen 3000 Desktop),6MB + 64MB,,65,3100 ‑ 4300,12/24,7,x86,,1528,,~38.2,13817,5700,44191,2.22,30.96,197,2804,490,6321,,,9.6,547,,,7145,255.5,131.9,18.9,10.4,2.4,1.6,179,,5134,75612,,,,5449,40720,1258,10695,1246,10190,,,,,,,,227,
Intel Core i9-10850K,Comet Lake-S,Comet Lake,2.5MB + 20MB,,125,3600 ‑ 5200,10/20,14,x86,,1205,UHD Graphics 630,~38.7,,6829,58453,2.45,28.14,215,2457,511,5961,1314,15538,7.59,419.8,2.67,68.1,9424,285.5,146.5,20.3,14.5,2.5,1.5,181.2,,5914,70932,,,,6425,44146,1412,11426,1401,11436,,,,,,,,253,
AMD Ryzen 7 5700X,Vermeer (Zen 3),Vermeer (Ryzen 5000),4MB + 32MB,,65,3400 ‑ 4600,8/16,7,x86,,620,,~42.1,14862,6527,42876,2.94,26.45,253,2329,595,5405,1499,13184,9.47,460.69,3.39,89.63,12478,305,134.7,17.1,13.4,1.9,1.2,221,374,6522,65777,,,,6928,37730,1587,9214,1647,9353,2186,9331,,,,,,310,236
Intel Core i7-11700K,Rocket Lake,Rocket Lake,4MB + 16MB,,125,3600 ‑ 5000,8/16,14,x86,,959,UHD Graphics Xe 750 32EUs,~44.3,16388,9621,58342,2.87,25.55,240,2299,588,5361,1558,14281,20.2,685,4.8,,,292.5,128,16.3,12.7,1.9,1.2,221,,6157,57129,,,,,,,,1765.5,10786.5,,,,124.2,71212,196.9,199.1,254,
AMD Ryzen 7 5700G,Cezanne (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",4MB + 16MB,,65,3800 ‑ 4600,8/16,7,x86,,976,Vega 8,~39.2,14324,6196,38826.5,2.86,23.58,242.5,2107,584,5015.5,1494,12830.5,7.8,415.27,4.33,94.57,7680.5,273.75,123.4,15.8,10.5,1.6,1.05,232.85,,5813.5,59702,,,,6630,34402.5,1521.5,8684.5,1579,8681,,,,55.3,74010,225,217.2,289.5,
AMD Ryzen 7 PRO 5750G,Cezanne PRO (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",4MB + 16MB,,65,3800 ‑ 4600,8/16,7,x86,,927,Vega 8,~35.5,,6432,37998,2.87,22.22,241,1956,585,4782,1500,12157,7.7,406.94,3.69,96.77,7011,249.5,113.15,14.4,11.1,1.6,1,245,,5682,57184,,,,6440,33145,1493,8361,1561,8396,,,,,,,,276,
Apple M1 Max,,Apple M-Series,28MB + 48MB,,,2060 ‑ 3220,10/10,5,ARM,,788,M1 Max 32-Core GPU,~48.2,,,,,,200,1691,395,2750,1533,12386,,,,,,,,,,,,189,,,,,,,,,,,1782,12697,,,,,68029,214.5,282,360,
Apple M2 Pro 10-Core,,Apple M2,36MB + 24MB,,,2424 ‑ 3696,10/10,5,ARM,,332,M2 Pro 16-Core GPU,~57.2,,,,,,231,1664,449,3235,1643,11811,,,,,,,,,,,,415,435,,,,,,,,,,1936.5,12131.5,,,,,75471,234.8,395,391,250
Apple M1 Pro,,Apple M-Series,28MB + 24MB,,,2064 ‑ 3220,10/10,5,ARM,,788,M1 Pro 16-Core GPU,~52.8,,,,,,209,1690,393,2721,1534,12370,,,,,,,,,,,,183.3,,,,,,,,,,,1768,12499,2409,12440,,75.6,66203,213.5,276,342,
AMD Ryzen 9 6980HS,Rembrandt-HS (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,35,3300 ‑ 5000,8/16,6,x86,,710,Radeon 680M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 9 6900HS,Rembrandt-H (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,35,3300 ‑ 4900,8/16,6,x86,,710,Radeon 680M,~41.8,14208,6404.5,39960,2.95,24.75,245,2161,612,5152,1554,13445,8.99,758.26,5.49,116.82,6488,265.5,123.6,16.2,11.1,1.65,1.08,227,382,5805,62006,,,,6476,39091,1502,9261,1537,9224,,,,106.6,73797,229.25,227.7,281,197.4
AMD Ryzen 9 PRO 6950HS,Rembrandt-HS (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,35,3300 ‑ 4900,8/16,6,x86,,604,Radeon 680M,~34.7,,6266,36583,2.82,22.13,239,1913,591,4577,1514,11515,7.2,366,8.4,252,5970,222,103,12.8,11.7,1.6,1.02,264,,5516,49474,,,,6351,31423,1522,8033,1549,7664,,,,,,,,274,
Intel Core i9-10910,Comet Lake-S,Comet Lake,2.5MB + 20MB,,125,3600 ‑ 5000,10/20,14,x86,,1304,UHD Graphics 630,~39.5,,8131,57842,2.44,25.57,215,2302,501,5196,,,7.6,432.5,,,8613,,,16.8,,,,208,,5690,60747,,,,,,,,1381,10244,,,,,55976,203.1,161,236,
AMD Ryzen 7 6800H,Rembrandt-H (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,45,3200 ‑ 4700,8/16,6,x86,,710,Radeon 680M,~42.2,13958,6424.5,39436.5,2.87,24.35,243,2151,598.5,5076.5,1526.5,12832,9.13,729,11.37,414.92,14392,266.3,129.5,16.15,9.6,1.6,1.04,236,390,5768,58798,,,,6477,36919,1510,9345,1551.5,9388.5,,,,105.9,75542,242.34,234.5,281,226.5
AMD Ryzen 7 PRO 6850H,Rembrandt-H (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,45,3200 ‑ 4700,8/16,6,x86,,604,Radeon 680M,~35.6,11620,5791,34412,2.6,21.32,205.1,2085.5,576,4887,1480,12393,0.94,800.35,3.72,103.58,5263,222.48,104.13,14.3,9.1,1.01,1,241.5,469.5,5417,54444.5,,,,,,,,1477.5,8472,,,,,,,,232,179.55
Intel Core i9-11980HK,Tiger Lake-HK,Tiger Lake,10MB + 24MB,,55,3300 ‑ 5000,8/16,10,x86,,948,UHD Graphics Xe 32EUs (Tiger Lake-H),~40.7,,9626,52116,2.76,21.06,230,2152,594,4568.5,1559,10923,6.82,350,7.47,243.3,,,,15.8,,,,256,,5668,53426,,,,,,,,1627,9813,2250,9970,,,72523,198.75,211.1,279,
AMD Ryzen 9 5980HX,Cezanne-HX (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",4MB + 16MB,,54,3300 ‑ 4800,8/16,7,x86,,1067,Vega 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i9-11900H,Tiger Lake-H,Tiger Lake,10MB + 24MB,,45,2500 ‑ 4900,8/16,10,x86,,948,UHD Graphics Xe 32EUs (Tiger Lake-H),~51.9,,,,,,241,2148,608,4878,1580.5,12143.5,,,,,,,,15,,,,243,479,5795,53205,,,,,,,,1632,9628,2355,9401,,,,,,273,227
Intel Core i5-12600HX,Alder Lake-HX,Alder Lake-S,10MB + 18MB,,55,1800 ‑ 4600,12/16,10,x86,,584,UHD Graphics 770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 9 5900HX,Cezanne-H (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",4MB + 16MB,,45,3300 ‑ 4600,8/16,7,x86,,1072,Vega 8,~40.9,14253.5,6409,40114,2.84,24.71,240,2106,578.5,4978,1488,12845,7.89,415.58,3.46,98.18,7061,275.25,120.23,15.55,11.1,1.75,1.15,243,434,5750,58664,,,,6350.5,33335.5,1485,8400,1538.5,8462,,,,117.65,71000,191.8,206.1,279,218.5
Intel Core i7-11700,Rocket Lake,Rocket Lake,4MB + 16MB,,65,2500 ‑ 4900,8/16,14,x86,,759,UHD Graphics 750,~36.4,14738,9493,51493,2.77,19.84,233,1767,579,3986,1529,10287,6.87,387.73,4.19,115.52,5962,267.2,93.1,12.6,12,1.8,1.1,295,,5810,44752,,,,7173,37795,1677,9706,1681,9760,,,,,,,,256,
Intel Core i5-12600H,Alder Lake-H,Alder Lake-P,10MB + 18MB,,45,2000 ‑ 4500,12/16,10,x86,,710,Iris Xe G7 80EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen Threadripper 1950X,ZEN,Threadripper,8MB + 32MB,,180,3400 ‑ 4200,16/32,14,x86,,2318,UHD Graphics 750,~31.6,,4754,41814,1.73,23.13,159,2997,410,6700,,,10.66,633,3.34,55.1,4150,189.6,134.3,16.9,19,2.9,1.8,163,,,,,,,4304,28877,1029,,1029,11237,,,,,,,,,
Intel Core i5-13600H,Raptor Lake-H,Raptor Lake-H,10MB + 18MB,,45,2100 ‑ 4800,12/16,10,x86,,345,Iris Xe G7 80EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-13505H,Raptor Lake-H,Raptor Lake-H,10MB + 18MB,,45,1900 ‑ 4700,12/16,10,x86,,345,Iris Xe G7 80EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-13500H,Raptor Lake-H,Raptor Lake-H,10MB + 18MB,,45,1900 ‑ 4700,12/16,10,x86,,345,Iris Xe G7 80EUs,~44.2,14693.5,9664,53786,3.1,28.34,252,2317.5,684.5,5395,1779,14085.5,7.1,340.36,3.27,225.42,7325,336,132.2,15.8,13.3,2.2,1.2,238,420,5653,52630,,,,7706.5,42655.5,1708.5,11350.5,1743,11099,2446,11828,,,,,,273,238
Intel Core i5-12500H,Alder Lake-H,Alder Lake-P,10MB + 18MB,,45,1800 ‑ 4500,12/16,10,x86,,710,Iris Xe G7 80EUs,~49.7,13126,,,,,242.5,2112,652.5,5090.5,1685.5,13461,,,,,,,,15.3,,,,238,426,5377,51984.5,,,,,,1636,10203,1636.5,10272,2279.5,9891.5,,,83229,254.5,296,272,240
AMD Ryzen 9 5980HS,Cezanne-HS (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",4MB + 16MB,,35,3000 ‑ 4800,8/16,7,x86,,1072,Vega 8,~40,,,,,,243,2083,602.5,4651,1529,12629,,,3.47,109.7,,,,15.2,,,,245.6,,5623,57319,,,,6295,33630,1508,8649,1537,8620,,,,,66881,179.5,,279,
Intel Core i7-1360P,Raptor Lake-P,Raptor Lake-P,10MB + 18MB,,28,1600 ‑ 5000,12/16,10,x86,,345,Iris Xe G7 96EUs,~44.5,12800.5,10473,51246,3.26,24.69,258,1860,687,4132.5,1809,10688.5,6.78,383.28,3.89,304.68,5759,296.5,110.68,11.3,12.4,2.05,1.2,324,585,5742.5,43043.5,,,,7635,37274,1773,10000.5,1824,9967,2546,10956.5,,,83850,254.1,307.5,303,263
Intel Core i7-1280P,Alder Lake-P,Alder Lake-P,11.5MB + 24MB,,28,1300 ‑ 4800,14/20,10,x86,,710,Iris Xe G7 96EUs,~43.5,6579,8881,46007,3.07,25.17,238,2112,629,4677.5,1651,11666,7,366,34,1168,7082,,,12.9,11.8,2.1,1.2,285,537,5540,49572,,,,7522,40196,1694,10537,1746,11191,,,,95.5,84578.5,244.65,251,286,248.5
Intel Core i9-11950H,Tiger Lake-H,Tiger Lake,10MB + 24MB,,45,2600 ‑ 5000,8/16,10,x86,,948,UHD Graphics Xe 32EUs (Tiger Lake-H),~47.2,,,,,,242.5,1954,619.5,4664.5,1591,12206.5,,,,,,,,14.2,,,,254,,5773,50060,,,,,,,,1631,7969,,,,,74632.5,208.3,211.5,272.5,
Intel Xeon W-11955M,Tiger Lake-H,Tiger Lake,10MB + 24MB,,45,2600 ‑ 5000,8/16,10,x86,,948,UHD Graphics Xe 32EUs (Tiger Lake-H),~35.8,,,,,,230,1846,568,4250,1480,10862,6.9,360,,,8815,,,13.4,8.6,1.7,1.1,276,,5222,47264,,,,6286,33776,1484,8230,1586.5,9057.5,,,,,60397,,147,271,
AMD Ryzen 7 7735HS,Rembrandt-HS Refresh,Rembrandt (Zen 3+),4MB + 16MB,,35,3200 ‑ 4750,8/16,6,x86,,344,Radeon 680M,~42.1,13410,6508,42409,2.95,26.48,248,2274,603,5341,1546,13750,7.79,663.99,3.43,92.76,6807,270.2,131.43,17,13,1.85,1.2,229,376,5786,60612,,,,6720,40164,1516,9315,1555,9436,2115,10348,,,76231,246.2,272,290,223.5
AMD Ryzen 7 7735H,Rembrandt-H Refresh,Rembrandt (Zen 3+),4MB + 16MB,,35,3200 ‑ 4750,8/16,6,,,344,Radeon 680M,~38.5,12923.5,6438,35222,2.91,21.14,246,1825,601,4354,1536,10920,7.59,680.96,3.81,109.78,5997,251.5,103.65,14.1,10.6,1.6,1.1,283,488,5621,52518,,,,6434.5,34180.5,1525,8372,1564,8582,2015.5,9182.5,,,,,,293,222
AMD Ryzen 7 PRO 6850HS,Rembrandt-HS (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,35,3200 ‑ 4700,8/16,6,x86,,604,Radeon 680M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 7 6800HS,Rembrandt-HS (Zen 3+),Rembrandt (Zen 3+),4MB + 16MB,,35,3200 ‑ 4700,8/16,6,x86,,710,Radeon 680M,~39.3,13890,6258,41339,2.79,26.19,234,1987,570,4634,1455,11992,8.4,710.8,,,6716,254.7,113.7,15.1,11.4,1.7,1.1,258,,5495,56170,,,,6168,36693,,,1492,9298,,,,,,,,280,
AMD Ryzen 9 5900HS,Cezanne-HS (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",4MB + 16MB,,35,3000 ‑ 4600,8/16,7,x86,,1072,Vega 8,~42.9,,6380,41235,2.83,24.94,236.5,2041,571.5,4895.5,1475.5,12745.5,,,,,,,,14.55,,,,241,,5653,57286,,,,6361,31805,1502,7784,1497,7867,,,,,65400,196.25,183,275.5,
AMD Ryzen 7 3800XT,Matisse (Zen 2),Matisse (Ryzen 3000 Desktop),4MB + 32MB,,105,3900 ‑ 4700,8/16,7,x86,,1256,UHD Graphics 750,~35,,6035,40528,2.36,24.18,219,2230,544,5120,,,9.07,508,3.74,81.4,7467,271,119,16.1,11.4,2,1.2,222.7,,5516,59247,,,,5830,35526,1360,9163,1353,8948,,,,,,,,249,
AMD Ryzen 7 3700X,Matisse (Zen 2),Matisse (Ryzen 3000 Desktop),4MB + 32MB,,65,3600 ‑ 4400,8/16,7,x86,,1622,UHD Graphics 750,~34.5,13814.5,5839,40439,2.3,23.19,204,2092,506,4782,,,9.45,531,3.71,86.7,7503,269.5,115,15.4,11.4,2,1.1,181.4,,5333,57307,,,,5799,34757,,,1304,8960,,,,,,,,,
Intel Core i9-9900KS,Coffee Lake-R,Coffee Lake,2MB + 16MB,,127,4000 ‑ 5000,8/16,14,x86,,1507,UHD Graphics 630,~36.9,14883.5,8183,51778.5,2.45,23.15,216,2058,511.5,4819.5,,,7.42,414.15,3.6,87.9,8353,278.85,122.5,16.26,12.15,2.1,1.2,224.55,,5734,55735,,,,6308,35586,,,1372,9100,,,,,44538,,,,
Intel Core i7-10700K,Comet Lake,Comet Lake,2MB + 16MB,,125,3800 ‑ 5100,8/16,14,x86,,1324,UHD Graphics 630,~35.1,,7910,50670,2.38,22.19,208,2027,496,4882,,,7.58,391.3,3.18,85.7,8469,269,121,16.3,11.2,2,0.97,217.4,,5647,54050,,,,6247,34735,1368,8903,1373.5,8925,,,,,,,,245,
AMD Ryzen 5 7645HX,Dragon Range (Zen4),"Dragon Range (Zen 4, Ryzen 7045)",6MB + 32MB,,55,4000 ‑ 5000,6/12,5,x86,,344,Radeon 610M,~48.8,,7717,44716,,25.68,289,2276,699,5467,1809,13985,8,410.82,,,13352,328.4,135.9,18.6,12.6,1.7,1,224,360,7124,60373,,,,7927,41241,1924,10185,1971,10145,2717,11717,,,87916,,,331,273
AMD Ryzen 5 8645HS,Hawk Point-HS (Zen 4),"Hawk Point (Zen 4/4c, Ryzen 8040)",6MB + 16MB,,45,4300 ‑ 5000,6/12,4,x86,,9,Radeon 760M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 5 8640HS,Hawk Point-HS (Zen 4),"Hawk Point (Zen 4/4c, Ryzen 8040)",6MB + 16MB,,28,3500 ‑ 4900,6/12,4,x86,,9,Radeon 760M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core Ultra 7 165U,Meteor Lake-P,Intel Meteor Lake-U,+ 12MB,,15,3800 ‑ 4900,12/14,7,x86,,6,Graphics 4-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen Z1 Extreme,Phoenix (Zen 4),"Phoenix (Zen 4, Ryzen 7040)",8MB + 16MB,,30,3300 ‑ 5100,8/16,4,x86,,265,Radeon 780M,~58.6,,,,,,274,2223.5,682,5467,1756,13982,,,,,,,,17.35,,,,213,406,6316,59811.5,,,,,,,,1898,9803,2534,10931,,,86617,276.7,293,366,277
AMD Ryzen 5 7640HS,Phoenix-HS (Zen 4),"Phoenix (Zen 4, Ryzen 7040)",6MB + 16MB,,45,4300 ‑ 5000,6/12,4,x86,,344,Radeon 760M,~56.6,,,,,,271,2079,667,5044,1715,13029,,,,,,,,16.7,,,,245,393,6465,54954,,,,,,,,1941,9355,2620,10936,,,,,,316,257
AMD Ryzen 5 PRO 7640HS,Phoenix (Zen4),"Phoenix (Zen 4, Ryzen 7040)",6MB + 16MB,,54,4300 ‑ 5000,6/12,4,x86,,344,Radeon 760M,~42.7,12948,6888,39399,2.97,21.61,249,1863,612,4530,1581,11507,7.9,740.7,,,6717,264,109.5,14.7,10.4,1.5,0.92,270,444,5892,51096,,,,7042,34588,,,1748,8863,2352,10200,,,,,,262,
AMD Ryzen 7 PRO 7840U,Phoenix (Zen 4),"Phoenix (Zen 4, Ryzen 7040)",8MB + 16MB,,28,3300 ‑ 5100,8/16,4,x86,,226,Radeon 780M,~52.8,,,,,,273,2014,684,4970,1747,12929,,,,,,,,15.9,,,,248,410,5988,57056,,,,,,,,1881,9663,1896,7596,,,,,,317,
