id,name,passmark
gpu1471,GeForce2 Integrated GPU,4
gpu1472,GeForce2 MX,2
gpu1473,GeForce2 MX 100/200,3
gpu1477,GeForce2 MX with DVI-D and TV-out,4
gpu191,GeForce2 MX with TV Out,2
gpu1479,GeForce2 MX/MX 400,3
gpu1480,GeForce2 Ti,4
gpu1481,GeForce2 Ultra,6
gpu1482,GeForce3,4
gpu1483,GeForce3 Ti 200,4
gpu1485,GeForce3 Ti 500,2
gpu713,GeForce4 420 Go,3
gpu1486,GeForce4 420 Go 32M,5
gpu1487,GeForce4 4200 Go,3
gpu3154,GeForce4 440,4
gpu1488,GeForce4 440 Go,3
gpu1489,GeForce4 440 Go 64M,5
gpu1490,GeForce4 448 Go,5
gpu1492,GeForce4 MX 4000,4
gpu1493,GeForce4 MX 420,4
gpu1494,GeForce4 MX 440,4
gpu1496,GeForce4 MX 440 with AGP8X,4
gpu1497,GeForce4 MX 440SE,4
gpu1499,GeForce4 MX 460,4
gpu1500,GeForce4 MX Integrated GPU,6
gpu1502,GeForce4 Ti 4200,5
gpu1505,GeForce4 Ti 4400,7
gpu1506,GeForce4 Ti 4600,5
gpu1507,GeForce4 Ti 4800,5
gpu1508,GeForce4 Ti 4800 SE,6
gpu1509,GeForce9400M,105
gpu2931,GF117,554
gpu4327,GRID GTX P40-6,4340
gpu2617,GRID K1,650
gpu3384,GRID K120Q,293
gpu2911,GRID K140Q,727
gpu3458,GRID K160Q,628
gpu3194,GRID K180Q,533
gpu2616,GRID K2,2736
gpu3140,GRID K220Q,912
gpu2951,GRID K240Q,2541
gpu3143,GRID K260Q,2949
gpu3142,GRID K280Q,2839
gpu2742,GRID K520,3516
gpu3795,GRID M10-0Q,913
gpu3766,GRID M10-1B,2309
gpu3800,GRID M10-1Q,3351
gpu4160,GRID M10-2B,2333
gpu4197,GRID M10-2Q,2691
gpu3964,GRID M10-4Q,2976
gpu3934,GRID M10-8Q,2606
gpu3527,GRID M6-0B,911
gpu4064,GRID M6-1Q,2069
gpu3867,GRID M6-8Q,3568
gpu3792,GRID M60-0B,1838
gpu3927,GRID M60-0Q,827
gpu3511,GRID M60-1B,4456
gpu3749,GRID M60-1Q,3694
gpu3737,GRID M60-2Q,5203
gpu3483,GRID M60-4Q,3831
gpu4171,GRID M60-8A,5523
gpu3716,GRID M60-8Q,3883
gpu3966,GRID P100-16Q,5944
